source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB-001,实验室安全的基本要求,南京林业大学林草水保学院,通用,基本要求,通用,3,综合安全,https://linxue.njfu.edu.cn/aqgz/sysaq/20210929/i230277.html,实验室安全;基本要求;高校,zh-CN,实验室的基本安全要求有哪些
WEB-002,实验室一般安全规范,齐鲁工业大学电子电气与控制学部,通用,安全规范,通用,3,综合安全,https://eetc.qlu.edu.cn/2012/1207/c1403a25377/page.htm,实验室安全;安全规范;高校,zh-CN,实验室一般安全规范包括哪些内容
WEB-003,实验室安全守则,河北师范大学汇华学院,通用,安全守则,通用,3,综合安全,http://huihua.hebtu.edu.cn/s/zhuanti/page/8.html,实验室安全;安全守则;高校,zh-CN,实验室安全守则有哪些关键要求
